,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
273,Burnie,-41.07,145.92,53.01,80,23,11.01,AU,1597450493
274,Cabedelo,-6.98,-34.83,73.4,94,40,6.93,BR,1597450493
275,Mahabalipuram,12.63,80.17,82.4,74,75,4.7,IN,1597450493
276,Palana,59.12,159.97,57.02,64,44,5.66,RU,1597450494
277,Damietta,31.42,31.81,77.0,88,0,9.17,EG,1597450494
278,Lyuban',52.8,28.0,52.5,89,47,2.89,BY,1597450494
279,Coffs Harbour,-30.3,153.13,70.0,68,61,11.41,AU,1597450289
280,Alofi,-19.06,-169.92,75.2,94,27,9.17,NU,1597450494
281,Kruisfontein,-34.0,24.73,46.74,89,0,5.06,ZA,1597450494
282,Mossamedes,-15.2,12.15,60.21,91,40,8.25,AO,1597450495
283,Praia,14.92,-23.51,77.0,94,90,6.93,CV,1597450495
284,Juegang,32.32,121.19,83.68,79,29,11.16,CN,1597450495
285,Boa Vista,2.82,-60.67,84.2,74,40,3.36,BR,1597450429
286,Altay,47.87,88.12,56.5,79,100,1.45,CN,1597450496
287,Einsiedeln,47.12,8.75,66.0,100,15,3.36,CH,1597450496
288,Muscatine,41.47,-91.13,84.2,51,1,5.82,US,1597450496
289,Sur,22.57,59.53,86.7,60,95,5.99,OM,1597450497
290,Bagdarin,54.43,113.6,57.2,84,91,0.85,RU,1597450497
291,Constantine,36.37,6.61,82.4,39,40,9.17,DZ,1597450497
292,Qian’an,44.99,124.06,70.02,73,0,12.24,CN,1597450497
293,Oistins,13.07,-59.53,80.6,78,20,6.93,BB,1597450497
294,Sol'-Iletsk,51.16,54.99,63.27,51,96,6.42,RU,1597450497
295,Manadhoo,5.77,73.38,81.81,78,100,11.25,MV,1597450498
296,Río Blanco,18.83,-97.15,68.9,74,30,5.68,MX,1597450498
297,Kaeo,-35.1,173.78,57.99,3,60,8.99,NZ,1597450498
298,Kharan,28.58,65.42,89.96,41,12,5.17,PK,1597450498
299,Bambous Virieux,-20.34,57.76,69.8,73,40,8.05,MU,1597450498
300,Vardø,70.37,31.11,52.05,91,100,3.44,NO,1597450499
301,Los Llanos de Aridane,28.66,-17.92,73.4,73,75,17.22,ES,1597450499
302,Loralai,30.37,68.6,79.16,62,0,4.25,PK,1597450499
303,Xam Nua,20.42,104.04,68.72,92,81,1.12,LA,1597450499
304,Cepu,-7.15,111.59,78.1,80,0,4.32,ID,1597450500
305,Esperance,-33.87,121.9,46.4,93,28,10.29,AU,1597450500
306,Nuuk,64.18,-51.72,42.8,87,75,18.34,GL,1597450500
307,Boyolangu,-8.12,111.89,76.06,87,37,2.28,ID,1597450500
308,Shizilu,35.17,118.83,80.4,92,100,6.26,CN,1597450500
309,Rojhan,28.69,69.95,94.8,51,2,11.32,PK,1597450501
310,Kupang,-10.17,123.58,82.4,65,20,10.29,ID,1597450501
311,Dauphin,51.15,-100.05,75.2,38,1,4.7,CA,1597450471
312,San Patricio,19.22,-104.7,86.0,74,75,11.41,MX,1597450501
313,Jodhpur,26.29,73.03,82.27,82,100,14.9,IN,1597450501
314,Tecpan,14.76,-90.99,71.6,73,40,18.34,GT,1597450502
315,São Filipe,14.9,-24.5,77.7,88,83,5.88,CV,1597450502
316,Nantucket,41.28,-70.1,73.4,78,1,14.99,US,1597450446
317,Todos Santos,23.45,-110.22,95.0,51,8,1.99,MX,1597450503
318,Kloulklubed,7.04,134.26,82.4,78,75,5.82,PW,1597450503
319,Kieta,-6.22,155.63,84.54,66,100,3.4,PG,1597450503
320,Rongcheng,30.63,117.85,84.0,97,29,2.66,CN,1597450503
321,Baijiantan,45.63,85.18,68.79,52,21,6.33,CN,1597450504
322,Beckley,37.78,-81.19,69.8,94,90,3.36,US,1597450504
323,Rudnogorsk,57.26,103.75,50.58,61,0,5.99,RU,1597450504
324,Codrington,-38.27,141.97,52.23,89,57,6.64,AU,1597450504
325,Bermeo,43.42,-2.72,69.8,83,75,3.44,ES,1597450504
326,Baykit,61.67,96.37,54.66,57,1,5.41,RU,1597450505
327,Tual,-5.67,132.75,79.7,83,89,17.49,ID,1597450505
328,Ashcroft,50.72,-121.29,86.0,27,20,9.17,CA,1597450505
329,Nyurba,63.28,118.33,49.91,65,97,7.05,RU,1597450505
330,Gornyak,50.99,81.47,55.31,88,5,2.08,RU,1597450505
331,Svetlyy Yar,48.47,44.78,51.8,76,34,6.71,RU,1597450506
332,Oskarshamn,57.26,16.45,59.0,100,0,2.24,SE,1597450506
333,Rawson,-43.3,-65.1,46.56,52,29,14.65,AR,1597450506
334,Biltine,14.53,20.92,78.98,74,79,5.64,TD,1597450506
335,Martapura,-3.42,114.85,77.0,94,20,2.24,ID,1597450344
336,Enumclaw,47.2,-121.99,82.99,37,0,3.0,US,1597450506
337,Mahébourg,-20.41,57.7,69.8,73,40,8.05,MU,1597450507
338,Gorin,51.2,136.67,57.92,96,100,6.24,RU,1597450507
339,Neijiang,29.58,105.06,77.99,94,100,4.68,CN,1597450507
340,Zuwārah,32.93,12.08,82.85,47,0,7.47,LY,1597450507
341,Hvittingfoss,59.48,10.02,61.0,91,62,1.03,NO,1597450508
342,Sirte,31.21,16.59,77.74,78,0,5.32,LY,1597450508
343,Salalah,17.02,54.09,77.0,94,75,3.36,OM,1597450508
344,Yerbogachën,61.28,108.01,48.29,64,0,9.69,RU,1597450508
345,Teya,60.38,92.63,58.6,76,45,3.44,RU,1597450509
346,Tamiahua,21.27,-97.45,84.34,70,2,8.77,MX,1597450509
347,Balkanabat,39.51,54.37,85.37,25,62,2.84,TM,1597450509
348,Torbay,47.67,-52.73,57.99,93,90,11.41,CA,1597450509
349,Avera,33.19,-82.53,77.0,74,75,4.7,US,1597450509
350,Kiruna,67.86,20.23,51.8,71,100,8.05,SE,1597450510
351,Aklavik,68.22,-135.01,53.6,87,90,4.7,CA,1597450510
352,Mandalgovi,45.76,106.27,63.43,55,96,9.51,MN,1597450510
353,Fort Nelson,58.81,-122.7,66.2,55,75,8.05,CA,1597450510
354,Kupiškis,55.83,24.97,56.62,93,40,4.41,LT,1597450510
355,Kanye,-24.97,25.33,45.16,86,0,9.55,BW,1597450511
356,Nālūt,30.33,10.85,78.69,29,0,11.54,LY,1597450511
357,Zehdenick,52.98,13.33,64.0,78,95,4.74,DE,1597450511
358,Malanje,-9.54,16.34,59.25,96,0,5.64,AO,1597450511
359,Keansburg,40.44,-74.13,79.0,75,28,11.21,US,1597450512
360,Ahipara,-35.17,173.17,58.24,69,13,7.14,NZ,1597450512
361,Kamenka,51.32,42.77,54.0,79,99,10.0,RU,1597450512
362,Wabana,47.63,-52.95,57.0,93,90,11.41,CA,1597450512
363,Amahai,-3.33,128.92,79.56,82,82,1.43,ID,1597450513
364,Sittwe,20.15,92.9,81.09,84,100,17.27,MM,1597450513
365,Bundaberg,-24.85,152.35,73.4,64,40,17.22,AU,1597450513
366,Wahiawā,21.5,-158.02,87.8,54,1,12.75,US,1597450320
367,Tautira,-17.73,-149.15,82.4,69,75,9.17,PF,1597450513
368,Pangkalanbuun,-2.68,111.62,76.8,91,50,2.08,ID,1597450514
369,Būlaevo,54.91,70.44,48.33,83,4,1.36,KZ,1597450514
370,Coyhaique,-45.58,-72.07,37.4,64,40,12.75,CL,1597450514
371,Swan Hill,-35.34,143.55,53.22,88,41,5.19,AU,1597450515
372,Alabaster,33.24,-86.82,80.01,88,90,4.7,US,1597450504
373,Aksu,41.12,80.26,71.01,31,18,7.27,CN,1597450515
374,La Primavera,5.49,-70.41,78.58,86,100,4.5,CO,1597450515
375,Lethem,3.38,-59.8,78.87,81,75,5.66,GY,1597450516
376,Toruń,53.01,18.6,66.99,63,70,3.36,PL,1597450516
377,Bessonovka,53.31,45.04,55.0,57,100,12.75,RU,1597450516
378,Puerto Escondido,15.85,-97.07,86.0,66,75,3.74,MX,1597450516
379,Maryville,35.76,-83.97,82.4,65,90,4.7,US,1597450516
380,Fare,-16.7,-151.02,78.55,82,4,17.54,PF,1597450517
381,Alexandria,31.22,29.96,78.8,78,40,11.41,EG,1597450517
382,Gīdam,18.98,81.4,72.46,95,100,7.94,IN,1597450517
383,Ostrovnoy,68.05,39.51,52.07,91,100,12.19,RU,1597450517
384,Namwala,-15.75,26.44,52.75,44,0,3.89,ZM,1597450518
385,Bria,6.54,21.99,69.53,96,83,2.19,CF,1597450518
386,Jiuquan,39.74,98.52,73.04,36,21,7.99,CN,1597450518
387,Sola,-13.88,167.55,80.22,82,11,15.01,VU,1597450518
388,Xining,36.62,101.77,56.17,69,54,1.99,CN,1597450518
389,Palmerston,-12.49,130.98,86.0,69,40,1.12,AU,1597450518
390,Laas,46.62,10.7,57.2,93,75,9.17,IT,1597450519
391,Leh,34.17,77.58,60.51,45,1,5.86,IN,1597450519
392,Lake Cowichan,48.83,-124.05,78.01,44,20,2.24,CA,1597450519
393,Katsuura,35.13,140.3,90.0,79,20,5.82,JP,1597450519
394,Biaora,23.87,76.92,75.65,91,100,8.32,IN,1597450520
395,Makhinjauri,41.67,41.69,66.2,88,75,12.75,GE,1597450520
396,Tapejara,-28.07,-52.01,60.42,98,100,3.27,BR,1597450520
397,Amarante do Maranhão,-5.57,-46.74,79.14,46,100,3.76,BR,1597450520
398,Muzhi,65.37,64.67,42.42,86,0,4.36,RU,1597450520
399,Brownsville,25.9,-97.5,89.6,59,1,14.99,US,1597450406
400,Kushmurun,52.45,64.63,61.36,61,25,8.66,KZ,1597450521
401,Kokopo,-4.35,152.26,82.8,71,100,5.3,PG,1597450521
402,Łańcut,50.07,22.23,60.8,77,86,10.29,PL,1597450521
403,Pampa,35.54,-100.96,91.4,45,40,8.05,US,1597450521
404,Laranjal Paulista,-23.05,-47.84,75.99,48,12,4.05,BR,1597450522
405,Quang Ngai,15.12,108.8,80.13,75,95,4.09,VN,1597450522
406,Ligayan,4.65,119.47,83.23,69,66,1.83,PH,1597450522
407,Vuktyl,63.86,57.31,43.16,83,40,4.99,RU,1597450522
408,Novopokrovka,49.84,36.55,53.6,81,0,6.71,UA,1597450522
409,Vytegra,61.01,36.45,54.48,90,100,5.66,RU,1597450523
410,Mount Gambier,-37.83,140.77,50.0,100,90,5.82,AU,1597450523
411,Warrington,53.39,-2.58,62.6,88,78,8.05,GB,1597450355
412,Nyimba,-14.56,30.81,60.31,71,1,5.39,ZM,1597450523
413,Awjilah,29.11,21.29,80.96,38,0,9.42,LY,1597450523
414,Muisne,0.6,-80.03,78.8,83,78,8.05,EC,1597450524
415,Domoni,-12.26,44.53,74.01,80,86,9.1,KM,1597450524
416,San Ramon,37.78,-121.98,108.0,13,75,3.36,US,1597450392
417,Colombia,20.99,-77.43,86.0,74,40,16.11,CU,1597450524
418,Warri,5.52,5.75,74.93,84,100,4.63,NG,1597450525
419,Gravdal,68.12,13.5,56.52,95,100,20.09,NO,1597450525
420,Tura,25.52,90.22,74.82,97,100,6.58,IN,1597450525
421,Artigas,-30.4,-56.47,60.46,86,96,3.87,UY,1597450525
422,Damascus,33.51,36.29,71.6,68,0,11.41,SY,1597450526
423,Gazli,40.13,63.45,76.59,19,0,8.79,UZ,1597450526
424,Nueva Loja,0.08,-76.88,71.6,100,90,1.12,EC,1597450526
425,Columbia,34.0,-81.03,82.99,74,1,4.7,US,1597450436
426,Acarí,-15.43,-74.62,61.41,61,47,4.25,PE,1597450527
427,Bratsk,56.13,101.61,59.0,77,15,4.47,RU,1597450527
428,Minden,52.28,8.92,69.01,88,99,2.24,DE,1597450527
429,Bubaque,11.28,-15.83,79.81,84,43,13.0,GW,1597450527
430,Santiago del Estero,-27.8,-64.26,60.42,33,0,5.73,AR,1597450528
431,Mount Kisco,41.2,-73.73,80.01,50,40,4.7,US,1597450528
432,Neftçala,39.37,49.25,75.61,69,0,12.55,AZ,1597450528
433,Mīnāb,27.15,57.08,89.6,79,0,0.83,IR,1597450528
434,Coahuayana Viejo,18.73,-103.68,80.6,78,40,4.27,MX,1597450528
435,Atasū,48.68,71.64,56.88,72,51,3.29,KZ,1597450529
436,Pisco,-13.7,-76.22,63.0,82,24,12.75,PE,1597450529
437,Boyuibe,-20.42,-63.28,76.24,51,13,8.3,BO,1597450529
438,Marquette,46.53,-87.63,80.01,56,1,5.01,US,1597450529
439,Sokółka,53.41,23.5,63.0,73,40,6.58,PL,1597450529
440,Luwuk,-0.95,122.79,79.45,66,13,6.31,ID,1597450529
441,Mahibadhoo,3.78,72.97,82.9,69,69,7.58,MV,1597450530
442,Lengshuijiang,27.69,111.43,80.38,77,43,3.44,CN,1597450473
443,San Luis,-33.3,-66.34,47.88,39,0,14.2,AR,1597450393
444,Antofagasta,-23.65,-70.4,55.4,76,40,12.75,CL,1597450418
445,Tikrit,34.61,43.68,84.47,15,0,12.8,IQ,1597450531
446,Boffa,10.17,-14.03,75.09,92,43,2.51,GN,1597450531
447,Estelle,29.85,-90.11,80.6,88,75,4.7,US,1597450436
448,Shingū,33.73,135.98,87.8,70,20,5.82,JP,1597450531
449,Montes Altos,-5.83,-47.07,80.4,43,77,3.74,BR,1597450531
450,Sabang,5.89,95.32,81.66,77,68,7.2,ID,1597450531
451,Karratha,-20.74,116.85,66.42,39,1,9.17,AU,1597450532
452,Lamovita,44.93,16.91,69.8,88,20,2.24,BA,1597450532
453,Chunian,30.96,73.98,84.97,74,46,6.82,PK,1597450532
454,Sechura,-5.56,-80.82,65.41,75,89,16.15,PE,1597450532
455,Cayenne,4.93,-52.33,82.4,74,1,5.82,GF,1597450521
456,Chumikan,54.72,135.31,58.17,77,100,16.8,RU,1597450533
457,Kimbe,-5.55,150.14,81.68,78,100,1.72,PG,1597450533
458,Marzuq,14.4,46.47,83.61,39,97,4.72,YE,1597450533
459,Belūsovka,50.13,82.52,50.0,93,40,1.74,KZ,1597450533
460,Portland,45.52,-122.68,88.0,25,1,13.87,US,1597450330
461,Paamiut,61.99,-49.67,43.9,82,0,24.72,GL,1597450534
462,Coello,4.29,-74.9,84.2,58,40,4.7,CO,1597450534
463,Lao Cai,22.48,103.95,76.21,85,99,1.54,VN,1597450534
464,Kabalo,-6.05,26.92,71.28,24,2,3.36,CD,1597450534
465,Dhidhdhoo,6.88,73.1,81.52,79,100,12.3,MV,1597450535
466,Chastyye,57.29,54.97,53.42,93,100,15.03,RU,1597450535
467,Novosokol'niki,56.35,30.16,52.03,86,26,5.23,RU,1597450535
468,Price,39.6,-110.81,91.4,7,1,18.34,US,1597450535
469,Imbituba,-28.24,-48.67,62.6,100,75,11.41,BR,1597450536
470,Havelock,34.88,-76.9,82.99,88,1,3.36,US,1597450536
471,Oktyabr'skiy,54.48,53.47,50.49,93,12,1.48,RU,1597450536
472,Vyselki,45.58,39.66,57.79,63,4,1.88,RU,1597450536
473,Planeta Rica,8.41,-75.59,86.0,70,75,9.17,CO,1597450536
474,Ntungamo,-0.88,29.65,66.67,80,55,2.06,UG,1597450537
475,Tazovsky,67.47,78.7,46.67,87,100,15.57,RU,1597450537
476,Yinzhu,35.88,119.98,84.2,89,99,8.95,CN,1597450537
477,Sørland,67.67,12.69,56.48,95,100,21.54,NO,1597450537
478,Dunmore Town,25.5,-76.65,84.07,65,24,8.43,BS,1597450537
479,Kirakira,-10.45,161.92,84.2,68,100,3.33,SB,1597450538
480,Agüimes,27.91,-15.45,73.4,69,20,27.51,ES,1597450538
481,Luganville,-15.53,167.17,82.4,78,75,11.41,VU,1597450538
482,Aykhal,66.0,111.5,44.6,70,75,4.94,RU,1597450538
483,Grimshaw,56.18,-117.6,68.0,42,20,14.99,CA,1597450538
484,Carroll,39.55,-77.02,78.01,75,47,5.61,US,1597450281
485,Hilotongan,11.14,123.64,82.69,74,84,7.99,PH,1597450539
486,Tofield,53.37,-112.67,70.0,43,68,5.01,CA,1597450539
487,Três Lagoas,-20.75,-51.68,82.51,30,28,7.09,BR,1597450539
488,Rio Grande,-32.03,-52.1,59.0,92,80,1.99,BR,1597450539
489,Pandan,14.05,124.17,82.49,79,100,5.93,PH,1597450540
490,Chapais,49.78,-74.85,73.4,43,1,4.7,CA,1597450540
491,Kuching,1.55,110.33,75.2,100,40,3.36,MY,1597450540
492,Kapit,2.02,112.93,76.53,91,47,0.34,MY,1597450540
493,San Bartolomé de Tirajana,27.92,-15.57,73.4,69,20,27.51,ES,1597450541
494,Kavieng,-2.57,150.8,84.52,66,100,2.89,PG,1597450541
495,Iwanai,42.97,140.51,75.52,79,85,6.31,JP,1597450541
496,Dalby,-27.18,151.27,63.0,85,57,1.99,AU,1597450541
497,Riposto,37.73,15.2,84.0,48,6,5.3,IT,1597450541
498,Samarai,-10.62,150.67,78.13,73,100,10.71,PG,1597450542
499,Safi,32.3,-9.24,67.32,86,0,11.21,MA,1597450542
500,Kinel’-Cherkassy,53.47,51.47,52.39,95,10,6.22,RU,1597450542
501,Songjianghe,42.19,127.48,72.95,77,72,8.43,CN,1597450542
502,Port Lincoln,-34.73,135.87,56.46,70,3,10.47,AU,1597450542
503,Inta,66.03,60.17,36.16,90,0,1.21,RU,1597450542
504,Kuusamo,65.97,29.18,53.6,100,90,4.7,FI,1597450543
505,Arnedo,42.22,-2.1,73.4,83,1,3.36,ES,1597450543
506,Tyrma,50.08,132.17,62.28,94,99,1.88,RU,1597450543
507,Kenai,60.55,-151.26,64.99,68,1,6.93,US,1597450273
508,Forsytheganj,52.63,29.73,50.58,86,83,1.3,BY,1597450543
509,Banda Aceh,5.56,95.32,79.66,77,57,6.33,ID,1597450544
510,Mezhdurechensk,53.69,88.06,58.39,92,98,0.76,RU,1597450544
511,Kabelvåg,68.21,14.48,54.0,91,100,15.99,NO,1597450544
512,Petrokamenskoye,57.72,60.65,48.52,79,100,6.53,RU,1597450544
513,Pareora,-44.49,171.21,48.99,79,0,6.82,NZ,1597450544
514,Bogdanovich,56.78,62.05,50.23,81,100,6.22,RU,1597450545
515,Adrar,20.5,-10.07,98.65,26,52,6.44,MR,1597450545
516,Hearst,49.68,-83.67,78.12,51,0,5.41,CA,1597450545
517,São Paulo de Olivença,-3.38,-68.87,77.58,84,91,0.67,BR,1597450545
518,Jiblah,13.92,44.15,67.89,70,95,3.36,YE,1597450545
519,Agapovka,53.3,59.13,55.4,100,90,2.59,RU,1597450533
520,Poli,-3.33,36.8,59.0,82,20,5.82,TZ,1597450546
521,Grindavik,63.84,-22.43,50.0,93,75,11.41,IS,1597450546
522,Caraballeda,10.61,-66.85,82.4,78,40,5.82,VE,1597450547
523,Chara,56.91,118.26,46.06,80,100,4.81,RU,1597450547
524,Havøysund,71.0,24.66,53.6,87,75,16.11,NO,1597450547
525,Hobyo,5.35,48.53,75.49,85,100,22.39,SO,1597450547
526,Charters Towers,-20.1,146.27,66.43,70,80,7.07,AU,1597450548
527,Beitbridge,-22.22,30.0,52.16,87,0,1.95,ZW,1597450548
528,Puerto Madero,14.72,-92.42,87.8,74,40,5.82,MX,1597450548
529,Adré,13.47,22.2,75.51,80,99,3.31,TD,1597450548
530,Caravelas,-17.71,-39.25,71.19,85,0,6.2,BR,1597450549
531,Klaksvík,62.23,-6.59,53.6,100,70,4.7,FO,1597450549
532,Batagay,67.63,134.63,42.96,73,98,13.58,RU,1597450326
533,Neryungri,56.67,124.65,47.89,74,100,6.87,RU,1597450549
534,Jardim,-21.48,-56.14,83.84,36,93,3.47,BR,1597450550
535,Wana,32.3,69.57,77.61,72,12,2.82,PK,1597450550
536,Mogadishu,2.04,45.34,75.54,82,81,19.37,SO,1597450550
537,Bandarbeyla,9.49,50.81,75.67,75,100,30.36,SO,1597450550
538,Edson,53.58,-116.44,64.4,48,75,9.17,CA,1597450546
539,Kholmogory,64.22,41.66,53.6,93,40,4.47,RU,1597450551
540,Kiryat Gat,31.61,34.76,78.01,82,0,3.94,IL,1597450551
541,Panguna,-6.32,155.48,81.37,66,99,1.36,PG,1597450552
542,Camopi,3.17,-52.32,75.24,87,43,4.0,GF,1597450552
543,Bull Savanna,17.89,-77.59,80.22,79,3,8.84,JM,1597450552
544,Walvis Bay,-22.96,14.51,55.0,93,0,6.93,NA,1597450552
545,Tucumã,-0.18,-50.05,79.25,84,88,9.66,BR,1597450544
546,Port Hawkesbury,45.62,-61.35,69.8,83,90,6.93,CA,1597450553
547,Nara,34.69,135.8,91.4,63,20,8.05,JP,1597450271
548,Marawi,8.0,124.29,80.01,80,91,5.99,PH,1597450508
549,Naberera,-4.2,36.93,55.89,91,35,5.57,TZ,1597450553
550,San Cristobal,7.77,-72.22,82.4,69,40,3.36,VE,1597450553
